European countries / The Hammond Almanac 1980
Ferligoj, A, Batagelj, V: Clustering with relational constraint. Psychometrika 47 (4): 413-426 1982
area ; population ; indent ; percUrban ; density ; popFirstCity ; incomPC ; percIndust ; birthRate ; deathRate ; lifeExp ; inPHBed ; inPPhysic ;infMort ;illiter ; higEduc ; roads  ; vehicles ; cars ; railway ; radio ; tv ; telephon ; newspaper ; country
  11100.0 ;   2650.0 ; 1 ; 34.000 ;  239.000 ;  6.415 ;  647.000 ; 61.500 ; 33.300 ;  8.100 ; 69.000 ; 164.000 ; 159.000 ; 86.800 ; 25.000 ; 10.818 ;  378.378 ;   .381 ;   .098 ;  16.937 ;  6.792 ;   .170 ;   .383 ;  46.000 ; Albania
  32375.0 ;   7620.0 ; 2 ; 54.000 ;  235.400 ; 22.310 ; 5491.000 ; 61.000 ; 11.000 ; 13.500 ; 73.000 ;  88.000 ; 479.000 ; 16.900 ;  0.000 ; 12.648 ;  628.788 ; 30.013 ; 23.990 ; 126.054 ; 28.675 ; 23.255 ; 29.934 ; 320.000 ; Austria
  11781.0 ;   9890.0 ; 2 ; 87.100 ;  839.000 ; 10.829 ; 7085.000 ; 30.000 ; 12.300 ; 11.400 ; 71.000 ; 112.000 ; 530.000 ; 14.000 ;  3.000 ; 15.180 ;  650.539 ; 30.657 ; 27.685 ; 218.572 ; 40.890 ; 26.754 ; 29.818 ; 239.000 ; Belgium
  42823.0 ;   8900.0 ; 2 ; 58.700 ;  208.000 ; 10.843 ; 2799.000 ; 43.000 ; 16.100 ; 10.700 ; 71.000 ; 116.000 ; 465.000 ; 23.700 ;  5.000 ; 14.449 ;  439.203 ;   .438 ;   .128 ;  88.270 ; 30.899 ; 17.371 ;  9.584 ; 232.000 ; Bulgaria
  49373.0 ;  15100.0 ; 2 ; 66.700 ;  306.000 ;  7.689 ; 4673.000 ; 45.000 ; 18.700 ; 11.500 ; 71.000 ;  99.000 ; 418.000 ; 19.600 ;  0.000 ; 10.269 ;  925.182 ; 12.934 ; 11.106 ; 166.650 ; 26.013 ; 25.119 ; 18.166 ; 300.000 ; Czechoslovakia
  16629.0 ;   5120.0 ; 3 ; 80.000 ;  308.000 ; 26.602 ; 7607.000 ; 35.000 ; 12.200 ;  9.900 ; 73.000 ; 103.000 ; 624.000 ;  8.900 ;  0.000 ; 21.537 ; 2405.436 ; 31.367 ; 26.250 ;  95.015 ; 36.152 ; 31.973 ; 48.926 ; 341.000 ; Denmark
 130128.0 ;   4760.0 ; 3 ; 59.000 ;   37.000 ; 10.357 ; 5002.000 ; 30.000 ; 13.900 ;  9.400 ; 72.000 ;  66.000 ; 703.000 ; 12.000 ;  0.000 ; 16.891 ;  148.016 ; 25.798 ; 21.702 ;  28.472 ; 46.218 ; 37.374 ; 40.672 ; 537.000 ; Finland
 210038.0 ;  53800.0 ; 1 ; 71.000 ;  256.000 ; 18.362 ; 7719.000 ; 38.000 ; 14.000 ; 10.100 ; 72.000 ;  98.000 ; 681.000 ; 11.400 ;  0.000 ; 18.391 ; 2336.044 ; 34.033 ; 29.554 ; 109.218 ; 48.327 ; 26.388 ; 28.911 ; 214.000 ; France
  41768.0 ;  16750.0 ; 2 ; 75.400 ;  410.000 ;  6.531 ; 4834.000 ; 54.000 ; 13.300 ; 13.400 ; 72.000 ;  92.000 ; 538.000 ; 13.100 ;  0.000 ; 18.315 ;  192.300 ; 15.522 ; 12.251 ; 212.028 ; 36.818 ; 30.925 ; 16.424 ; 472.000 ; East_Germany
  95704.0 ;  62200.0 ; 2 ; 86.000 ;  650.000 ;  3.191 ; 8372.000 ; 54.600 ;  9.600 ; 11.800 ; 71.000 ;  87.000 ; 516.000 ; 17.400 ;  0.000 ; 13.517 ; 1091.773 ; 32.595 ; 30.418 ; 207.682 ; 33.616 ; 30.910 ; 34.023 ; 289.000 ; West_Germany
  50944.0 ;   9175.0 ; 1 ; 64.800 ;  180.000 ; 27.978 ; 2576.000 ; 31.000 ; 15.400 ;  8.200 ; 71.000 ; 155.000 ; 491.000 ; 23.000 ; 10.000 ; 12.146 ;  193.840 ;  8.146 ;  5.559 ;  31.014 ; 29.973 ; 12.698 ; 23.760 ; 107.000 ; Greece
  35919.0 ;  10700.0 ; 2 ; 49.800 ;  298.000 ; 19.168 ; 3000.000 ; 38.500 ; 16.700 ; 12.400 ; 70.000 ; 121.000 ; 471.000 ; 26.100 ;  2.000 ; 10.052 ;  512.653 ;  8.093 ;  6.121 ; 150.895 ; 23.720 ; 23.318 ; 10.056 ; 233.000 ; Hungary
  39768.0 ;    222.0 ; 3 ; 86.400 ;    5.600 ; 38.288 ; 5706.000 ; 18.000 ; 17.800 ;  6.600 ; 75.000 ;  69.000 ; 612.000 ; 11.100 ;  0.000 ; 13.378 ;  150.875 ; 33.063 ; 29.595 ;   0.000 ; 28.829 ; 23.874 ; 40.991 ; 431.000 ; Iceland
  27136.0 ;   3200.0 ; 2 ; 52.200 ;  118.000 ; 17.750 ; 3189.000 ; 34.000 ; 21.400 ; 10.500 ; 71.000 ;  93.000 ; 830.000 ; 14.600 ;  0.000 ; 12.478 ; 1918.743 ; 19.228 ; 17.388 ;  49.160 ; 29.656 ; 20.469 ; 15.000 ; 222.000 ; Ireland
 116303.0 ;  56450.0 ; 1 ; 48.000 ;  485.000 ;  5.081 ; 4211.000 ; 40.000 ; 13.200 ;  9.600 ; 70.000 ;  95.000 ; 502.000 ; 17.600 ;  5.000 ; 17.302 ; 1541.155 ; 31.190 ; 28.211 ; 108.544 ; 23.072 ; 21.926 ; 27.008 ; 113.000 ; Italy
    999.0 ;    360.0 ; 2 ; 69.000 ;  360.000 ; 21.667 ; 6889.000 ; 52.000 ; 11.400 ; 12.600 ; 73.000 ;  88.000 ; 978.000 ; 14.800 ;  2.000 ;  1.342 ; 3088.088 ; 39.167 ; 36.306 ; 215.215 ; 56.944 ; 29.167 ; 43.889 ; 560.000 ; Luxembourg
  15892.0 ;  13871.0 ; 2 ; 78.000 ;  873.000 ;  5.414 ; 6324.000 ; 42.300 ; 12.500 ;  8.300 ; 77.000 ;  99.000 ; 670.000 ;  9.500 ;  0.000 ; 20.765 ; 3364.586 ; 29.688 ; 27.165 ; 110.748 ; 28.816 ; 27.208 ; 39.017 ; 311.000 ; Netherlands
 125053.0 ;   4042.0 ; 3 ; 57.000 ;   32.000 ; 11.455 ; 7867.000 ; 21.000 ; 13.700 ;  7.600 ; 75.000 ;  71.000 ; 582.000 ; 10.500 ;  0.000 ; 16.183 ;  183.730 ; 28.946 ; 25.285 ;  21.071 ; 31.865 ; 26.893 ; 36.517 ; 412.000 ; Norway
 120725.0 ;  35000.0 ; 2 ; 56.400 ;  290.000 ;  4.000 ; 3094.000 ; 65.900 ; 19.000 ;  9.600 ; 71.000 ; 129.000 ; 584.000 ; 24.000 ;  0.000 ; 16.443 ;  736.475 ;  5.020 ;  3.686 ; 137.403 ; 23.514 ; 19.491 ;  7.866 ; 248.000 ; Poland
  35549.0 ;   9800.0 ; 1 ; 37.000 ;  276.000 ;  8.459 ; 1570.000 ; 43.000 ; 19.200 ; 12.100 ; 69.000 ; 181.000 ; 851.000 ; 39.000 ; 29.000 ;  6.107 ;  556.696 ; 13.490 ; 10.551 ;  62.280 ; 15.561 ;  7.378 ; 11.418 ;  70.000 ; Portugal
  91699.0 ;  21700.0 ; 2 ; 48.000 ;  237.000 ;  8.912 ; 3083.000 ; 70.000 ; 19.500 ;  9.100 ; 70.000 ; 110.000 ; 805.000 ; 31.400 ;  2.000 ; 17.572 ;   86.053 ;   .208 ;   .184 ;  74.755 ; 14.304 ; 13.654 ;  4.959 ; 129.000 ; Romania
 195988.0 ;  36400.0 ; 1 ; 49.000 ;  186.000 ;  9.670 ; 2560.000 ; 38.000 ; 18.000 ;  7.700 ; 72.000 ; 190.000 ; 647.000 ; 10.700 ;  3.000 ; 12.456 ;  442.195 ; 17.701 ; 14.701 ;  55.228 ; 25.549 ; 18.242 ; 23.640 ;  48.000 ; Spain
 173665.0 ;   8268.0 ; 3 ; 81.400 ;   48.000 ; 16.630 ; 8894.000 ; 36.000 ; 11.600 ; 10.700 ; 74.000 ;  66.000 ; 615.000 ;  8.000 ;  0.000 ; 19.671 ;  100.849 ; 36.805 ; 34.845 ;  43.405 ; 38.740 ; 36.139 ; 68.614 ; 572.000 ; Sweden
  15943.0 ;   6550.0 ; 2 ; 58.000 ;  411.000 ;  6.046 ; 8651.000 ; 47.000 ; 11.500 ;  8.800 ; 75.000 ;  88.000 ; 559.000 ; 10.700 ;  0.000 ;  9.881 ; 2320.768 ; 30.702 ; 26.305 ; 195.070 ; 32.183 ; 27.618 ; 61.313 ; 402.000 ; Switzerland
8649490.0 ; 262400.0 ; 2 ; 61.000 ;   30.000 ;  3.053 ; 4004.000 ; 77.500 ; 18.500 ;  9.500 ; 70.000 ;  85.000 ; 347.000 ; 27.700 ;  0.000 ; 18.498 ;   43.103 ;  1.886 ;   .419 ;   9.884 ; 46.676 ; 21.029 ;  6.860 ; 347.000 ; USSR
  94399.0 ;  56100.0 ; 2 ; 78.000 ;  594.000 ; 12.528 ; 4556.000 ; 32.000 ; 11.800 ; 11.700 ; 72.000 ;  96.000 ; 703.000 ; 14.000 ;  0.000 ; 11.708 ; 2217.237 ; 29.340 ; 25.957 ; 123.338 ; 70.410 ; 31.602 ; 39.237 ; 388.000 ; United_Kingdom
  98766.0 ;  21720.0 ; 1 ; 39.000 ;  220.000 ;  6.073 ; 2544.000 ; 37.000 ; 17.700 ;  6.000 ; 68.000 ; 169.000 ; 849.000 ; 35.200 ; 15.000 ; 18.186 ;  431.768 ;  8.854 ;  7.974 ;  75.866 ; 20.838 ; 15.944 ;  6.588 ;  80.000 ; Yugoslavia
