European countries / The Hammond Almanac 1980
Ferligoj, A, Batagelj, V: Clustering with relational constraint. Psychometrika 47 (4): 413-426 1982
"";"country";"ISOa2";"area";"population";"indent";"percUrban";"density";"popFirstCity";"incomPC";"percIndust";"birthRate";"deathRate";"lifeExp";"inPHBed";"inPPhysic";"infMort";"illiter";"higEduc";"roads";"vehicles";"cars";"railway";"radio";"tv";"telephon";"newspaper"
"1";" Albania";"AL";11100;2650;1;34;239;6,415;647;61,5;33,3;8,1;69;164;159;86,8;25;10,818;378,378;0,381;0,098;16,937;6,792;0,17;0,383;46
"2";" Austria";"AT";32375;7620;2;54;235,4;22,31;5491;61;11;13,5;73;88;479;16,9;0;12,648;628,788;30,013;23,99;126,054;28,675;23,255;29,934;320
"3";" Belgium";"BE";11781;9890;2;87,1;839;10,829;7085;30;12,3;11,4;71;112;530;14;3;15,18;650,539;30,657;27,685;218,572;40,89;26,754;29,818;239
"4";" Bulgaria";"BG";42823;8900;2;58,7;208;10,843;2799;43;16,1;10,7;71;116;465;23,7;5;14,449;439,203;0,438;0,128;88,27;30,899;17,371;9,584;232
"5";" Czechoslovakia";"CS";49373;15100;2;66,7;306;7,689;4673;45;18,7;11,5;71;99;418;19,6;0;10,269;925,182;12,934;11,106;166,65;26,013;25,119;18,166;300
"6";" Denmark";"DK";16629;5120;3;80;308;26,602;7607;35;12,2;9,9;73;103;624;8,9;0;21,537;2405,436;31,367;26,25;95,015;36,152;31,973;48,926;341
"7";" Finland";"FI";130128;4760;3;59;37;10,357;5002;30;13,9;9,4;72;66;703;12;0;16,891;148,016;25,798;21,702;28,472;46,218;37,374;40,672;537
"8";" France";"FR";210038;53800;1;71;256;18,362;7719;38;14;10,1;72;98;681;11,4;0;18,391;2336,044;34,033;29,554;109,218;48,327;26,388;28,911;214
"9";" East_Germany";"DD";41768;16750;2;75,4;410;6,531;4834;54;13,3;13,4;72;92;538;13,1;0;18,315;192,3;15,522;12,251;212,028;36,818;30,925;16,424;472
"10";" West_Germany";"DE";95704;62200;2;86;650;3,191;8372;54,6;9,6;11,8;71;87;516;17,4;0;13,517;1091,773;32,595;30,418;207,682;33,616;30,91;34,023;289
"11";" Greece";"GR";50944;9175;1;64,8;180;27,978;2576;31;15,4;8,2;71;155;491;23;10;12,146;193,84;8,146;5,559;31,014;29,973;12,698;23,76;107
"12";" Hungary";"HU";35919;10700;2;49,8;298;19,168;3000;38,5;16,7;12,4;70;121;471;26,1;2;10,052;512,653;8,093;6,121;150,895;23,72;23,318;10,056;233
"13";" Iceland";"IS";39768;222;3;86,4;5,6;38,288;5706;18;17,8;6,6;75;69;612;11,1;0;13,378;150,875;33,063;29,595;0;28,829;23,874;40,991;431
"14";" Ireland";"IE";27136;3200;2;52,2;118;17,75;3189;34;21,4;10,5;71;93;830;14,6;0;12,478;1918,743;19,228;17,388;49,16;29,656;20,469;15;222
"15";" Italy";"IT";116303;56450;1;48;485;5,081;4211;40;13,2;9,6;70;95;502;17,6;5;17,302;1541,155;31,19;28,211;108,544;23,072;21,926;27,008;113
"16";" Luxembourg";"LU";999;360;2;69;360;21,667;6889;52;11,4;12,6;73;88;978;14,8;2;1,342;3088,088;39,167;36,306;215,215;56,944;29,167;43,889;560
"17";" Netherlands";"NL";15892;13871;2;78;873;5,414;6324;42,3;12,5;8,3;77;99;670;9,5;0;20,765;3364,586;29,688;27,165;110,748;28,816;27,208;39,017;311
"18";" Norway";"NO";125053;4042;3;57;32;11,455;7867;21;13,7;7,6;75;71;582;10,5;0;16,183;183,73;28,946;25,285;21,071;31,865;26,893;36,517;412
"19";" Poland";"PL";120725;35000;2;56,4;290;4;3094;65,9;19;9,6;71;129;584;24;0;16,443;736,475;5,02;3,686;137,403;23,514;19,491;7,866;248
"20";" Portugal";"PT";35549;9800;1;37;276;8,459;1570;43;19,2;12,1;69;181;851;39;29;6,107;556,696;13,49;10,551;62,28;15,561;7,378;11,418;70
"21";" Romania";"RO";91699;21700;2;48;237;8,912;3083;70;19,5;9,1;70;110;805;31,4;2;17,572;86,053;0,208;0,184;74,755;14,304;13,654;4,959;129
"22";" Spain";"ES";195988;36400;1;49;186;9,67;2560;38;18;7,7;72;190;647;10,7;3;12,456;442,195;17,701;14,701;55,228;25,549;18,242;23,64;48
"23";" Sweden";"SE";173665;8268;3;81,4;48;16,63;8894;36;11,6;10,7;74;66;615;8;0;19,671;100,849;36,805;34,845;43,405;38,74;36,139;68,614;572
"24";" Switzerland";"CH";15943;6550;2;58;411;6,046;8651;47;11,5;8,8;75;88;559;10,7;0;9,881;2320,768;30,702;26,305;195,07;32,183;27,618;61,313;402
"25";" USSR";"SU";8649490;262400;2;61;30;3,053;4004;77,5;18,5;9,5;70;85;347;27,7;0;18,498;43,103;1,886;0,419;9,884;46,676;21,029;6,86;347
"26";" United_Kingdom";"GB";94399;56100;2;78;594;12,528;4556;32;11,8;11,7;72;96;703;14;0;11,708;2217,237;29,34;25,957;123,338;70,41;31,602;39,237;388
"27";" Yugoslavia";"YU";98766;21720;1;39;220;6,073;2544;37;17,7;6;68;169;849;35,2;15;18,186;431,768;8,854;7,974;75,866;20,838;15,944;6,588;80
